Type,TO?,feasible,time(sec),source_file
QUERY_NORMAL,False,False,3.7767040729522705,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,True,4.103523254394531,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.6227517127990723,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.632322311401367,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.818199872970581,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,True,4.818618059158325,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.7155601978302,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.706885814666748,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,True,4.567388534545898,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,True,4.5857765674591064,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,True,4.9173688888549805,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,True,5.0037901401519775,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.865884780883789,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.8494560718536377,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,True,4.711170196533203,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,True,4.833687782287598,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.7848823070526123,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,4.006059408187866,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,4.041686773300171,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.8406286239624023,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.8024775981903076,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.8183202743530273,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.848097324371338,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.906015634536743,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.64808988571167,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.8139612674713135,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.6157236099243164,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,True,4.5492377281188965,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.724201202392578,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.5536813735961914,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.7009189128875732,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.794304132461548,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.8037757873535156,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,4.0887908935546875,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.943834066390991,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,4.09527850151062,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.8791654109954834,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.9384961128234863,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.8435051441192627,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.7753190994262695,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,True,4.863730430603027,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.7955920696258545,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,True,5.199819564819336,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.8090174198150635,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,True,5.035367727279663,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.6592154502868652,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,4.015240669250488,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.9908463954925537,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.8420562744140625,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.9278199672698975,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,4.090046644210815,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,True,5.084303617477417,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.621748447418213,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.709317684173584,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.6139771938323975,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.5172266960144043,EtherstoreReentrancy-Mode.epa
