Type,TO?,feasible,time(sec)
QUERY_REDUCE_COMBINATION,False,True,1.7963316440582275
QUERY_REDUCE_COMBINATION,False,True,4.134755373001099
QUERY_REDUCE_COMBINATION,False,True,16.348052740097046
QUERY_REDUCE_COMBINATION,False,True,1.89479398727417
QUERY_REDUCE_COMBINATION,True,False,600.0132758617401
QUERY_REDUCE_COMBINATION,False,True,1.5920758247375488
QUERY_REDUCE_COMBINATION,False,True,1.5237295627593994
QUERY_REDUCE_COMBINATION,False,True,4.1017656326293945
QUERY_REDUCE_COMBINATION,False,True,14.93358564376831
QUERY_REDUCE_COMBINATION,True,False,600.0091531276703
QUERY_REDUCE_COMBINATION,True,False,600.0057950019836
QUERY_REDUCE_COMBINATION,False,True,1.571152687072754
QUERY_REDUCE_COMBINATION,False,True,1.6129040718078613
QUERY_REDUCE_COMBINATION,False,True,1.4824960231781006
QUERY_REDUCE_COMBINATION,True,False,600.0165817737579
QUERY_REDUCE_COMBINATION,False,True,1.6601788997650146
QUERY_NORMAL,False,True,1.8070034980773926
QUERY_NORMAL,False,False,1.34999680519104
QUERY_NORMAL,False,False,1.3816275596618652
QUERY_NORMAL,True,False,600.0115280151367
QUERY_NORMAL,False,False,1.422208309173584
QUERY_NORMAL,False,True,1.5065867900848389
QUERY_NORMAL,False,False,1.3220016956329346
QUERY_NORMAL,False,False,1.3209021091461182
QUERY_NORMAL,False,False,1.3499970436096191
QUERY_NORMAL,False,False,1.3375754356384277
QUERY_NORMAL,False,True,1.5024757385253906
QUERY_NORMAL,False,False,1.3629975318908691
QUERY_NORMAL,False,False,1.3994319438934326
QUERY_NORMAL,False,False,1.3876900672912598
QUERY_NORMAL,False,True,3.747239112854004
QUERY_NORMAL,False,True,3.6120352745056152
QUERY_NORMAL,False,False,1.3818626403808594
QUERY_NORMAL,False,False,1.323972463607788
QUERY_NORMAL,False,False,1.3492944240570068
QUERY_NORMAL,False,False,1.354217529296875
QUERY_NORMAL,False,False,1.3429789543151855
QUERY_NORMAL,False,False,1.3566699028015137
QUERY_NORMAL,False,True,3.8982057571411133
QUERY_NORMAL,False,False,1.322009801864624
QUERY_NORMAL,False,False,1.3570127487182617
QUERY_NORMAL,False,False,1.3170008659362793
QUERY_NORMAL,False,False,1.3590891361236572
QUERY_NORMAL,False,False,1.3339684009552002
QUERY_NORMAL,False,False,1.3030216693878174
QUERY_NORMAL,False,False,1.329160213470459
QUERY_NORMAL,False,False,1.3973126411437988
QUERY_NORMAL,False,False,1.3285789489746094
QUERY_NORMAL,False,True,3.7773804664611816
QUERY_NORMAL,False,False,1.3261175155639648
QUERY_NORMAL,False,False,1.3210504055023193
QUERY_NORMAL,False,False,1.333892583847046
QUERY_NORMAL,False,False,1.4035007953643799
QUERY_NORMAL,False,True,16.488163709640503
QUERY_NORMAL,False,False,1.3365809917449951
QUERY_NORMAL,False,False,1.3159961700439453
QUERY_NORMAL,False,True,16.077474117279053
QUERY_NORMAL,False,True,21.688280820846558
QUERY_NORMAL,False,False,1.4122915267944336
QUERY_NORMAL,False,False,1.350694179534912
QUERY_NORMAL,False,False,1.3645572662353516
QUERY_NORMAL,False,False,1.343301773071289
QUERY_NORMAL,False,False,1.346555233001709
QUERY_NORMAL,False,False,1.3180186748504639
QUERY_NORMAL,False,False,1.3477683067321777
QUERY_NORMAL,False,False,1.3463325500488281
QUERY_NORMAL,True,False,600.007425069809
QUERY_NORMAL,False,False,1.3391249179840088
QUERY_NORMAL,False,True,17.187869787216187
QUERY_NORMAL,False,False,1.332759141921997
QUERY_NORMAL,False,False,1.4492247104644775
QUERY_NORMAL,False,False,1.3179852962493896
QUERY_NORMAL,False,False,1.3450994491577148
QUERY_NORMAL,False,False,1.3472394943237305
QUERY_NORMAL,False,True,16.253458499908447
QUERY_NORMAL,False,False,1.4322731494903564
QUERY_NORMAL,False,False,1.3260118961334229
QUERY_NORMAL,False,False,1.384082555770874
QUERY_NORMAL,False,False,1.3223495483398438
QUERY_NORMAL,False,True,1.8345181941986084
QUERY_NORMAL,False,False,1.3625249862670898
QUERY_NORMAL,False,True,1.8412744998931885
QUERY_NORMAL,False,False,1.3306097984313965
QUERY_NORMAL,False,False,1.3290226459503174
QUERY_NORMAL,False,False,1.4341740608215332
QUERY_NORMAL,False,False,1.3289921283721924
QUERY_NORMAL,False,True,1.838094711303711
QUERY_NORMAL,False,False,1.3236234188079834
QUERY_NORMAL,False,False,1.3195955753326416
QUERY_NORMAL,False,False,1.329160213470459
QUERY_NORMAL,False,True,1.628450870513916
QUERY_NORMAL,False,False,1.4063324928283691
QUERY_NORMAL,False,False,1.332773208618164
QUERY_NORMAL,False,True,2.600461959838867
QUERY_NORMAL,False,False,1.3528008460998535
QUERY_NORMAL,False,False,1.3495697975158691
QUERY_NORMAL,False,True,9.522651433944702
QUERY_NORMAL,False,False,1.3540771007537842
QUERY_NORMAL,False,False,1.3039796352386475
QUERY_NORMAL,False,False,1.379072666168213
QUERY_NORMAL,False,True,1.649634599685669
QUERY_NORMAL,False,True,1.5680005550384521
QUERY_NORMAL,False,True,1.803877592086792
QUERY_NORMAL,False,False,1.3438167572021484
QUERY_NORMAL,False,False,1.317995309829712
QUERY_NORMAL,False,False,1.3749141693115234
QUERY_NORMAL,False,False,1.332064151763916
QUERY_NORMAL,False,False,1.3940155506134033
QUERY_NORMAL,False,False,1.3706436157226562
QUERY_NORMAL,False,False,1.3349993228912354
QUERY_NORMAL,False,False,1.353013038635254
QUERY_NORMAL,False,False,1.3620436191558838
QUERY_NORMAL,False,True,1.5680007934570312
QUERY_NORMAL,False,False,1.3290975093841553
QUERY_NORMAL,False,False,1.3553955554962158
QUERY_NORMAL,False,False,1.3896350860595703
QUERY_NORMAL,False,False,1.3350298404693604
QUERY_NORMAL,False,False,1.3567798137664795
QUERY_NORMAL,False,False,1.3510050773620605
QUERY_NORMAL,False,False,1.3283464908599854
QUERY_NORMAL,False,False,1.3199679851531982
QUERY_NORMAL,False,True,1.6016302108764648
QUERY_NORMAL,False,False,1.333930253982544
QUERY_NORMAL,False,False,1.3159995079040527
QUERY_NORMAL,False,False,1.3550763130187988
QUERY_NORMAL,False,False,1.4761602878570557
QUERY_NORMAL,False,False,1.3159308433532715
QUERY_NORMAL,False,False,1.3528962135314941
QUERY_NORMAL,False,False,1.3356800079345703
QUERY_NORMAL,False,False,1.3149211406707764
QUERY_NORMAL,False,False,1.3361146450042725
QUERY_NORMAL,False,False,1.3459908962249756
QUERY_NORMAL,False,False,1.3465678691864014
QUERY_NORMAL,False,True,1.5501480102539062
QUERY_NORMAL,False,True,1.5455296039581299
QUERY_NORMAL,False,True,1.541278600692749
QUERY_NORMAL,False,False,1.33270263671875
QUERY_NORMAL,False,False,1.392984390258789
QUERY_NORMAL,False,False,1.374772310256958
QUERY_NORMAL,False,False,1.3368759155273438
QUERY_NORMAL,False,False,1.3089981079101562
QUERY_NORMAL,False,True,1.5841715335845947
QUERY_NORMAL,False,False,1.329700231552124
QUERY_NORMAL,False,False,1.3329968452453613
QUERY_NORMAL,False,True,1.5825040340423584
QUERY_NORMAL,False,False,1.414628505706787
QUERY_NORMAL,False,False,1.3080008029937744
QUERY_NORMAL,False,False,1.335972785949707
QUERY_NORMAL,False,False,1.326005458831787
QUERY_NORMAL,False,False,1.342179298400879
QUERY_NORMAL,False,False,1.3333232402801514
QUERY_NORMAL,False,False,1.3090012073516846
QUERY_NORMAL,False,False,1.3710472583770752
QUERY_NORMAL,False,False,1.332000494003296
QUERY_NORMAL,False,False,1.4329087734222412
QUERY_NORMAL,False,False,1.3447167873382568
QUERY_NORMAL,False,False,1.3570036888122559
QUERY_NORMAL,False,False,1.3368480205535889
QUERY_NORMAL,False,False,1.3405401706695557
QUERY_NORMAL,False,False,1.319004774093628
QUERY_NORMAL,False,True,3.6386871337890625
QUERY_NORMAL,False,True,3.7329959869384766
QUERY_NORMAL,False,False,1.3140058517456055
QUERY_NORMAL,False,False,1.3486027717590332
QUERY_NORMAL,False,False,1.306999683380127
QUERY_NORMAL,False,False,1.3271608352661133
QUERY_NORMAL,False,False,1.3684699535369873
QUERY_NORMAL,False,False,1.3070001602172852
QUERY_NORMAL,False,True,3.7590904235839844
QUERY_NORMAL,False,False,1.3369383811950684
QUERY_NORMAL,False,False,1.3250043392181396
QUERY_NORMAL,False,False,1.3323581218719482
QUERY_NORMAL,False,False,1.3099861145019531
QUERY_NORMAL,False,False,1.3449993133544922
QUERY_NORMAL,False,False,1.3803863525390625
QUERY_NORMAL,False,False,1.3170015811920166
QUERY_NORMAL,False,False,1.3456509113311768
QUERY_NORMAL,False,False,1.3482975959777832
QUERY_NORMAL,False,False,1.3463292121887207
QUERY_NORMAL,False,True,16.073058128356934
QUERY_NORMAL,False,False,1.3267323970794678
QUERY_NORMAL,False,False,1.3420817852020264
QUERY_NORMAL,False,False,1.358001947402954
QUERY_NORMAL,False,False,1.4219245910644531
QUERY_NORMAL,False,False,1.356616497039795
QUERY_NORMAL,False,False,1.337022066116333
QUERY_NORMAL,False,True,15.42201828956604
